file,audio_time,text
card_120.png,5:38,"The willingness to ask questions nobody else asks, to doubt assumptions, to challenge certainty, to wonder."
card_121.png,5:46,Because the discovery that changes the world begins with a simple thought.
card_122.png,5:52,"A child staring at a compass, wondering why the needle moved."
card_123.png,5:57,And maybe that's what makes you different.
card_124.png,6:00,"Not intelligence, not equations, not fame."
card_125.png,6:03,Just an unwillingness to stop asking why.
card_126.png,6:08,"The universe is still filled with mysteries, questions nobody can answer, ideas waiting to be discovered."
card_127.png,6:16,"And somewhere, the next person who changes the world might simply be a curious child, looking at something ordinary, and refusing to look away."
card_128.png,6:27,You spend your life trying to understand reality.
card_129.png,6:30,"And the remarkable thing is, you show us that reality is far stranger than anyone imagined."
card_130.png,6:37,"And perhaps, that's still true today."
